latitude,longitude,pm10,pm25,temp,humid,timestamp
18.508792,98.390425,58.0,54.0,27.0,51.0,2024-01-30 01:00:00
18.508792,98.390425,57.25,53.75,27.0,51.0,2024-01-30 02:00:00
18.508792,98.390425,57.17,53.61,27.0,51.0,2024-01-30 03:00:00
18.508792,98.390425,56.72,53.39,26.89,51.0,2024-01-30 04:00:00
18.508792,98.390425,61.89,58.33,26.67,51.11,2024-01-30 05:00:00
18.508792,98.390425,71.67,67.89,26.33,51.67,2024-01-30 06:00:00
18.508792,98.390425,86.11,81.78,26.0,52.89,2024-01-30 07:00:00
18.508792,98.390425,98.44,93.11,25.67,54.56,2024-01-30 08:00:00
18.508792,98.390425,104.0,97.78,25.44,56.0,2024-01-30 09:00:00
18.508792,98.390425,101.78,95.0,25.55,56.55,2024-01-30 10:00:00
18.508792,98.390425,88.78,82.67,26.11,56.11,2024-01-30 11:00:00
18.508792,98.390425,74.44,69.78,27.22,54.33,2024-01-30 12:00:00
18.508792,98.390425,60.0,57.0,28.67,51.22,2024-01-30 13:00:00
18.508792,98.390425,49.67,47.89,30.33,46.56,2024-01-30 14:00:00
18.508792,98.390425,38.78,37.67,31.78,41.0,2024-01-30 15:00:00
18.508792,98.390425,29.11,28.45,33.0,35.56,2024-01-30 16:00:00
18.508792,98.390425,22.44,21.78,33.89,31.33,2024-01-30 17:00:00
18.508792,98.390425,22.33,21.56,34.56,29.44,2024-01-30 18:00:00
18.508792,98.390425,26.89,25.67,34.56,30.22,2024-01-30 19:00:00
18.508792,98.390425,36.0,34.44,30.9,33.44,2024-01-30 20:00:00
18.508792,98.390425,43.11,40.78,26.69,37.89,2024-01-30 21:00:00
18.508792,98.390425,47.89,44.78,22.59,42.11,2024-01-30 22:00:00
18.508792,98.390425,47.55,43.67,24.69,45.34,2024-01-30 23:00:00
18.508792,98.390425,45.89,41.89,24.24,47.45,2024-01-31 00:00:00
18.508792,98.390425,43.33,39.56,23.69,48.89,2024-01-31 01:00:00
18.508792,98.390425,41.22,38.11,20.14,49.89,2024-01-31 02:00:00
18.508792,98.390425,39.05,36.5,20.63,50.56,2024-01-31 03:00:00
18.508792,98.390425,37.11,35.0,18.91,50.89,2024-01-31 04:00:00
18.508792,98.390425,36.28,34.05,17.19,51.22,2024-01-31 05:00:00
18.508792,98.390425,50.76,47.36,15.7,51.89,2024-01-31 06:00:00
18.508792,98.390425,67.46,62.88,19.19,53.0,2024-01-31 07:00:00
18.508792,98.390425,86.71,81.18,23.01,54.11,2024-01-31 08:00:00
18.508792,98.390425,78.87,74.19,25.81,54.3,2024-01-31 09:00:00
18.508792,98.390425,68.42,64.58,26.45,53.11,2024-01-31 10:00:00
18.508792,98.390425,51.5,48.5,27.39,50.28,2024-01-31 11:00:00
18.508792,98.390425,43.5,40.5,28.5,46.5,2024-01-31 12:00:00
18.508792,98.390425,33.39,30.5,29.72,42.39,2024-01-31 13:00:00
18.508792,98.390425,24.5,21.89,30.83,38.33,2024-01-31 14:00:00
18.508792,98.390425,17.42,15.31,31.75,34.25,2024-01-31 15:00:00
18.508792,98.390425,12.4,10.79,31.93,30.64,2024-01-31 16:00:00
18.508792,98.390425,9.83,8.61,30.95,28.44,2024-01-31 17:00:00
18.508792,98.390425,10.08,9.03,28.36,28.61,2024-01-31 18:00:00
18.508792,98.390425,12.25,11.25,24.75,30.5,2024-01-31 19:00:00
18.508792,98.390425,15.38,14.38,20.62,33.25,2024-01-31 20:00:00
18.508792,98.390425,18.5,17.5,16.5,36.0,2024-01-31 21:00:00
18.508792,98.390425,21.62,20.62,12.43,38.75,2024-01-31 22:00:00
18.508792,98.390425,24.75,23.75,9.74,41.5,2024-01-31 23:00:00
18.508792,98.390425,27.31,26.08,8.42,44.06,2024-02-01 00:00:00
18.508792,98.390425,28.61,27.17,9.3,46.11,2024-02-01 01:00:00
18.508792,98.390425,28.32,26.65,12.5,47.47,2024-02-01 02:00:00
18.508792,98.390425,27.45,26.0,17.92,48.22,2024-02-01 03:00:00
18.508792,98.390425,26.67,25.33,22.34,48.78,2024-02-01 04:00:00
18.508792,98.390425,26.78,25.67,24.22,49.22,2024-02-01 05:00:00
18.508792,98.390425,34.44,32.89,23.78,49.78,2024-02-01 06:00:00
18.508792,98.390425,47.44,45.55,23.22,50.22,2024-02-01 07:00:00
18.508792,98.390425,64.0,61.11,22.89,51.11,2024-02-01 08:00:00
18.508792,98.390425,66.89,63.67,22.67,52.33,2024-02-01 09:00:00
18.508792,98.390425,61.0,57.56,23.0,53.55,2024-02-01 10:00:00
18.508792,98.390425,58.11,55.11,23.78,53.33,2024-02-01 11:00:00
18.508792,98.390425,60.67,58.11,25.33,50.67,2024-02-01 12:00:00
18.508792,98.390425,63.78,61.67,27.33,45.56,2024-02-01 13:00:00
18.508792,98.390425,47.11,45.78,29.56,39.22,2024-02-01 14:00:00
18.508792,98.390425,29.67,28.89,31.45,32.67,2024-02-01 15:00:00
18.508792,98.390425,14.67,14.22,32.78,26.78,2024-02-01 16:00:00
18.508792,98.390425,12.67,12.11,33.89,21.89,2024-02-01 17:00:00
18.508792,98.390425,11.55,10.89,34.67,19.67,2024-02-01 18:00:00
18.508792,98.390425,19.55,18.56,34.89,20.89,2024-02-01 19:00:00
18.508792,98.390425,30.33,28.67,33.89,25.11,2024-02-01 20:00:00
18.508792,98.390425,43.56,41.0,32.0,30.11,2024-02-01 21:00:00
18.508792,98.390425,42.67,39.89,30.0,34.34,2024-02-01 22:00:00
18.508792,98.390425,37.0,34.56,28.33,37.56,2024-02-01 23:00:00
18.508792,98.390425,31.22,29.33,27.11,40.33,2024-02-02 00:00:00
18.508792,98.390425,29.34,27.67,26.11,42.67,2024-02-02 01:00:00
18.508792,98.390425,29.22,27.56,25.22,44.67,2024-02-02 02:00:00
18.508792,98.390425,24.44,23.0,24.44,46.11,2024-02-02 03:00:00
18.508792,98.390425,20.89,19.78,23.56,47.33,2024-02-02 04:00:00
18.508792,98.390425,17.22,16.44,20.9,48.11,2024-02-02 05:00:00
18.508792,98.390425,19.0,18.33,16.36,48.78,2024-02-02 06:00:00
18.508792,98.390425,33.89,32.33,12.05,49.22,2024-02-02 07:00:00
18.508792,98.390425,54.45,51.67,11.72,50.0,2024-02-02 08:00:00
18.508792,98.390425,70.56,66.67,15.59,50.56,2024-02-02 09:00:00
18.508792,98.390425,62.0,58.78,20.01,50.44,2024-02-02 10:00:00
18.508792,98.390425,42.83,41.06,23.22,48.55,2024-02-02 11:00:00
18.508792,98.390425,25.33,24.89,25.0,45.22,2024-02-02 12:00:00
18.508792,98.390425,18.5,18.39,27.22,40.55,2024-02-02 13:00:00
18.508792,98.390425,15.44,15.11,29.45,35.28,2024-02-02 14:00:00
18.508792,98.390425,11.28,10.61,31.45,29.44,2024-02-02 15:00:00
18.508792,98.390425,7.89,7.11,32.78,24.5,2024-02-02 16:00:00
18.508792,98.390425,5.89,5.11,33.89,20.89,2024-02-02 17:00:00
18.508792,98.390425,11.78,11.22,34.89,19.83,2024-02-02 18:00:00
18.508792,98.390425,23.78,23.22,35.39,21.0,2024-02-02 19:00:00
18.508792,98.390425,40.33,39.67,34.56,24.78,2024-02-02 20:00:00
18.508792,98.390425,46.33,45.11,32.61,29.44,2024-02-02 21:00:00
18.508792,98.390425,43.0,41.22,30.33,33.89,2024-02-02 22:00:00
18.508792,98.390425,31.56,29.56,28.61,37.11,2024-02-02 23:00:00
18.508792,98.390425,23.44,21.89,27.22,39.67,2024-02-03 00:00:00
18.508792,98.390425,18.67,17.67,26.11,41.89,2024-02-03 01:00:00
18.508792,98.390425,17.33,16.67,25.11,43.78,2024-02-03 02:00:00
18.508792,98.390425,16.67,15.78,24.33,45.22,2024-02-03 03:00:00
18.508792,98.390425,16.89,15.78,23.78,46.22,2024-02-03 04:00:00
